pokedex_number,name,generation
1,Bulbasaur,1
2,Ivysaur,1
3,Mega Venusaur,1
4,Charmander,1
5,Charmeleon,1
6,Mega Charizard X,1
7,Squirtle,1
8,Wartortle,1
9,Mega Blastoise,1
10,Caterpie,1
11,Metapod,1
12,Butterfree,1
13,Weedle,1
14,Kakuna,1
15,Mega Beedrill,1
16,Pidgey,1
17,Pidgeotto,1
18,Pidgeot,1
19,Rattata,1
20,Raticate,1
21,Spearow,1
22,Fearow,1
23,Ekans,1
24,Arbok,1
25,Pikachu,1
26,Raichu,1
27,Sandshrew,1
28,Sandslash,1
29,Nidoranâ™€,1
30,Nidorina,1
31,Nidoqueen,1
32,Nidoranâ™‚,1
33,Nidorino,1
34,Nidoking,1
35,Clefairy,1
36,Clefable,1
37,Vulpix,1
38,Ninetales,1
39,Jigglypuff,1
40,Wigglytuff,1
41,Zubat,1
42,Golbat,1
43,Oddish,1
44,Gloom,1
45,Vileplume,1
46,Paras,1
47,Parasect,1
48,Venonat,1
49,Venomoth,1
50,Diglett,1
51,Dugtrio,1
52,Galarian Meowth,1
53,Persian,1
54,Psyduck,1
55,Golduck,1
56,Mankey,1
57,Primeape,1
58,Growlithe,1
59,Arcanine,1
60,Poliwag,1
61,Poliwhirl,1
62,Poliwrath,1
63,Abra,1
64,Kadabra,1
65,Alakazam,1
66,Machop,1
67,Machoke,1
68,Machamp,1
69,Bellsprout,1
70,Weepinbell,1
71,Victreebel,1
72,Tentacool,1
73,Tentacruel,1
74,Geodude,1
75,Graveler,1
76,Golem,1
77,Ponyta,1
78,Rapidash,1
79,Slowpoke,1
80,Galarian Slowbro,8
81,Magnemite,1
82,Magneton,1
83,Galarian Farfetch'd,1
84,Doduo,1
85,Dodrio,1
86,Seel,1
87,Dewgong,1
88,Grimer,1
89,Muk,1
90,Shellder,1
91,Cloyster,1
92,Gastly,1
93,Haunter,1
94,Gengar,1
95,Onix,1
96,Drowzee,1
97,Hypno,1
98,Krabby,1
99,Kingler,1
100,Voltorb,1
101,Electrode,1
102,Exeggcute,1
103,Alolan Exeggutor,1
104,Cubone,1
105,Marowak,1
106,Hitmonlee,1
107,Hitmonchan,1
108,Lickitung,1
109,Koffing,1
110,Weezing,1
111,Rhyhorn,1
112,Rhydon,1
113,Chansey,1
114,Tangela,1
115,Mega Kangaskhan,1
116,Horsea,1
117,Seadra,1
118,Goldeen,1
119,Seaking,1
120,Staryu,1
121,Starmie,1
122,Galarian Mr. Mime,1
123,Scyther,1
124,Jynx,1
125,Electabuzz,1
126,Magmar,1
127,Mega Pinsir,1
128,Tauros,1
129,Magikarp,1
130,Mega Gyarados,1
131,Lapras,1
132,Ditto,1
133,Eevee,1
134,Vaporeon,1
135,Jolteon,1
136,Flareon,1
137,Porygon,1
138,Omanyte,1
139,Omastar,1
140,Kabuto,1
141,Kabutops,1
142,Mega Aerodactyl,1
143,Snorlax,1
144,Articuno,1
145,Galarian Zapdos,8
146,Moltres,1
147,Dratini,1
148,Dragonair,1
149,Dragonite,1
150,Mega Mewtwo X,1
151,Mew,1
152,Chikorita,2
153,Bayleef,2
154,Meganium,2
155,Cyndaquil,2
156,Quilava,2
157,Typhlosion,2
158,Totodile,2
159,Croconaw,2
160,Feraligatr,2
161,Sentret,2
162,Furret,2
163,Hoothoot,2
164,Noctowl,2
165,Ledyba,2
166,Ledian,2
167,Spinarak,2
168,Ariados,2
169,Crobat,2
170,Chinchou,2
171,Lanturn,2
172,Pichu,2
173,Cleffa,2
174,Igglybuff,2
175,Togepi,2
176,Togetic,2
177,Natu,2
178,Xatu,2
179,Mareep,2
180,Flaaffy,2
181,Mega Ampharos,2
182,Bellossom,2
183,Marill,2
184,Azumarill,2
185,Sudowoodo,2
186,Politoed,2
187,Hoppip,2
188,Skiploom,2
189,Jumpluff,2
190,Aipom,2
191,Sunkern,2
192,Sunflora,2
193,Yanma,2
194,Wooper,2
195,Quagsire,2
196,Espeon,2
197,Umbreon,2
198,Murkrow,2
199,Slowking,2
200,Misdreavus,2
201,Unown,2
202,Wobbuffet,2
203,Girafarig,2
204,Pineco,2
205,Forretress,2
206,Dunsparce,2
207,Gligar,2
208,Mega Steelix,2
209,Snubbull,2
210,Granbull,2
211,Qwilfish,2
212,Mega Scizor,2
213,Shuckle,2
214,Mega Heracross,2
215,Sneasel,2
216,Teddiursa,2
217,Ursaring,2
218,Slugma,2
219,Magcargo,2
220,Swinub,2
221,Piloswine,2
222,Corsola,2
223,Remoraid,2
224,Octillery,2
225,Delibird,2
226,Mantine,2
227,Skarmory,2
228,Houndour,2
229,Houndoom,2
230,Kingdra,2
231,Phanpy,2
232,Donphan,2
233,Porygon2,2
234,Stantler,2
235,Smeargle,2
236,Tyrogue,2
237,Hitmontop,2
238,Smoochum,2
239,Elekid,2
240,Magby,2
241,Miltank,2
242,Blissey,2
243,Raikou,2
244,Entei,2
245,Suicune,2
246,Larvitar,2
247,Pupitar,2
248,Mega Tyranitar,2
249,Lugia,2
250,Ho-oh,2
251,Celebi,2
252,Treecko,3
253,Grovyle,3
254,Mega Sceptile,3
255,Torchic,3
256,Combusken,3
257,Mega Blaziken,3
258,Mudkip,3
259,Marshtomp,3
260,Mega Swampert,3
261,Poochyena,3
262,Mightyena,3
263,Zigzagoon,3
264,Linoone,3
265,Wurmple,3
266,Silcoon,3
267,Beautifly,3
268,Cascoon,3
269,Dustox,3
270,Lotad,3
271,Lombre,3
272,Ludicolo,3
273,Seedot,3
274,Nuzleaf,3
275,Shiftry,3
276,Taillow,3
277,Swellow,3
278,Wingull,3
279,Pelipper,3
280,Ralts,3
281,Kirlia,3
282,Mega Gardevoir,3
283,Surskit,3
284,Masquerain,3
285,Shroomish,3
286,Breloom,3
287,Slakoth,3
288,Vigoroth,3
289,Slaking,3
290,Nincada,3
291,Ninjask,3
292,Shedinja,3
293,Whismur,3
294,Loudred,3
295,Exploud,3
296,Makuhita,3
297,Hariyama,3
298,Azurill,3
299,Nosepass,3
300,Skitty,3
301,Delcatty,3
302,Mega Sableye,3
303,Mega Mawile,3
304,Aron,3
305,Lairon,3
306,Mega Aggron,3
307,Meditite,3
308,Mega Medicham,3
309,Electrike,3
310,Manectric,3
311,Plusle,3
312,Minun,3
313,Volbeat,3
314,Illumise,3
315,Roselia,3
316,Gulpin,3
317,Swalot,3
318,Carvanha,3
319,Mega Sharpedo,3
320,Wailmer,3
321,Wailord,3
322,Numel,3
323,Mega Camerupt,3
324,Torkoal,3
325,Spoink,3
326,Grumpig,3
327,Spinda,3
328,Trapinch,3
329,Vibrava,3
330,Flygon,3
331,Cacnea,3
332,Cacturne,3
333,Swablu,3
334,Mega Altaria,3
335,Zangoose,3
336,Seviper,3
337,Lunatone,3
338,Solrock,3
339,Barboach,3
340,Whiscash,3
341,Corphish,3
342,Crawdaunt,3
343,Baltoy,3
344,Claydol,3
345,Lileep,3
346,Cradily,3
347,Anorith,3
348,Armaldo,3
349,Feebas,3
350,Milotic,3
351,Castform,3
352,Kecleon,3
353,Shuppet,3
354,Mega Banette,3
355,Duskull,3
356,Dusclops,3
357,Tropius,3
358,Chimecho,3
359,Mega Absol,3
360,Wynaut,3
361,Snorunt,3
362,Mega Glalie,3
363,Spheal,3
364,Sealeo,3
365,Walrein,3
366,Clamperl,3
367,Huntail,3
368,Gorebyss,3
369,Relicanth,3
370,Luvdisc,3
371,Bagon,3
372,Shelgon,3
373,Mega Salamence,3
374,Beldum,3
375,Metang,3
376,Mega Metagross,3
377,Regirock,3
378,Regice,3
379,Registeel,3
380,Mega Latias,3
381,Mega Latios,3
382,Primal Kyogre,3
383,Primal Groudon,3
384,Mega Rayquaza,3
385,Jirachi,3
386,Deoxys Attack Forme,3
387,Turtwig,4
388,Grotle,4
389,Torterra,4
390,Chimchar,4
391,Monferno,4
392,Infernape,4
393,Piplup,4
394,Prinplup,4
395,Empoleon,4
396,Starly,4
397,Staravia,4
398,Staraptor,4
399,Bidoof,4
400,Bibarel,4
401,Kricketot,4
402,Kricketune,4
403,Shinx,4
404,Luxio,4
405,Luxray,4
406,Budew,4
407,Roserade,4
408,Cranidos,4
409,Rampardos,4
410,Shieldon,4
411,Bastiodon,4
412,Burmy,4
413,Wormadam Sandy Cloak,4
414,Mothim,4
415,Combee,4
416,Vespiquen,4
417,Pachirisu,4
418,Buizel,4
419,Floatzel,4
420,Cherubi,4
421,Cherrim,4
422,Shellos,4
423,Gastrodon,4
424,Ambipom,4
425,Drifloon,4
426,Drifblim,4
427,Buneary,4
428,Mega Lopunny,4
429,Mismagius,4
430,Honchkrow,4
431,Glameow,4
432,Purugly,4
433,Chingling,4
434,Stunky,4
435,Skuntank,4
436,Bronzor,4
437,Bronzong,4
438,Bonsly,4
439,Mime Jr.,4
440,Happiny,4
441,Chatot,4
442,Spiritomb,4
443,Gible,4
444,Gabite,4
445,Mega Garchomp,4
446,Munchlax,4
447,Riolu,4
448,Mega Lucario,4
449,Hippopotas,4
450,Hippowdon,4
451,Skorupi,4
452,Drapion,4
453,Croagunk,4
454,Toxicroak,4
455,Carnivine,4
456,Finneon,4
457,Lumineon,4
